"Category","Name","Description","Price","Image","Available","Tags"
"Cocktail","Blue lagoon ","","15000","","",""
"Cocktail","Mojito classic ","","15000","","",""
"Cocktail","Pina colada","","15000","","",""
"Cocktail","London mule","","15000","","",""
"Cocktail","Sex on the beach","","15000","","",""
"Cocktail","Long Island ice tea ","","15000","","",""
"Cocktail","Bull fruge","","15000","","",""
"Cocktail","Margarita ","","15000","","",""
"Cocktail","Whiskey sour ","","15000","","",""
"Cocktail","Nigroni","","20000","","",""
"Cocktail","Crown Signature","","20000","","",""
"Cocktail","Old fashioned ","","20000","","",""
"Beer","Heineken","","10000","","yes",""
"Beer","Corona","","10000","","yes",""
"Beer","budweiser","","10000","","yes",""
"Beer","Almaza","","10000","","yes",""
"Arak","BEYLERBEYI RAKI GOBEK","","15000","","yes",""
"Arak","Ouzo gold 7y","","15000","","yes",""
"Arak","Toma","","15000","","yes",""
"Arak","Tekirdag raki gold","","15000","","yes",""
"Arak","Tekirdag raki blue","","15000","","yes",""
"COGNAC","Hennessy Cognac V.S","","20000","","yes",""
"COGNAC","Hennessy Cognac V.S.O.P","","25000","","yes",""
"COGNAC","karavan canelle","","15000","","yes",""
"GIN","Gordons Gin - Regular","","15000","","yes",""
"GIN","Tanqueray","","15000","","yes",""
"GIN","BOMBAY SAPPHIRE GIN","","15000","","yes",""
"GIN","HENDRICKS GIN","","20000","","yes",""
"GIN","ROKU JAPANESE CRAFTED GIN","","20000","","yes",""
"RUM","BACARDI CARTA BLANCA","","15000","","yes",""
"RUM","BACARDI CARTA NEGRA","","15000","","yes",""
"RUM","Captin morgan gold","","15000","","yes",""
"RUM","Malibu","","15000","","yes",""
"LIQUIR","JAGERMEISTER","","10000","","yes",""
"LIQUIR","MARTINI ROSSO","","10000","","yes",""
"LIQUIR","CAMPARI","","10000","","yes",""
"LIQUIR","KAHLUA COFFEE LIQUEUR","","10000","","yes",""
"LIQUIR","Absent","","20000","","yes",""
"LIQUIR","BAILEYS","","10000","","",""
"TEQUILA","OLMECA TEQUILA SILVER","","10000","","",""
"TEQUILA","OLMECA TEQUILA REPOSADO","","10000","","",""
"TEQUILA","Patron silver","","15000","","",""
"TEQUILA","Patron gold","","15000","","",""
"Vodka","GREY GOOSE","","15000","","",""
"Vodka","BELVEDERE","","15000","","",""
"Vodka","BELUGA EXPORT NOBLE","","15000","","",""
"Vodka","ABSOLUT","","10000","","",""
"Vodka","STOLI","","10000","","",""
"Vodka","Finlandia","","10000","","",""
"Vodka","TITOS HANDMADE VODKA","","10000","","",""
"whisky","JOHNNIE WALKER RED LABEL","","10000","","",""
"whisky","JOHNNIE WALKER BLACK LABEL","","10000","","",""
"whisky","JOHNNIE WALKER DOUBLE BLACK","","15000","","",""
"whisky","JOHNNIE WALKER GOLD LABEL","","20000","","",""
"whisky","BUSHMILLS","","10000","","",""
"whisky","JAMESON CRESTED","","10000","","",""
"whisky","Bushmils BLACK","","10000","","",""
"whisky","JACK DANIELS","","10000","","",""
"whisky","JACK DANIELS HONEY","","10000","","",""
"whisky","JACK DANIELS FIRE","","10000","","",""
"whisky","JACK DANIELS APPLE","","10000","","",""
"whisky","CHIVAS REGAL 12YO","","10000","","",""
"whisky","CHIVAS REGAL 18YO","","15000","","",""
"whisky","GLENFIDDICH SINGLE MALT 12YO","","15000","","",""
"whisky","GLENFIDDICH SINGLE MALT 15YO","","15000","","",""
"whisky","WOODFORD RESERVE","","15000","","",""
"WINE","JACOBS GREEK MERLOT","","10000","","",""
"WINE","JACOBS GREEK SHIRAZ","","10000","","",""
"WINE","FRONTERA CABERNET SAUVIGNON","","10000","","",""
"WINE","FRONTERA SWEET SELECTION","","10000","","",""
"WINE","TRIVENTO MALBEC","","15000","","",""
"WINE","Ksara CABERNET SAUVIGNON","","15000","","",""
"WHITE WINE","JACOBS GREEK chardonny","","10000","","",""
"WHITE WINE","JACOBS GREEK riesling","","10000","","",""
"WHITE WINE","Sinsi white","","15000","","",""
"WHITE WINE","B&G Sauvignon Blanc","","15000","","",""
"WHITE WINE","Ksara Blanc de Blanc","","15000","","",""
"Rose WINE","Ksara rose","","15000","","",""
"Rose WINE","JACOBS GREEK rose","","10000","","",""
"sparkling WINE","PICCINI PROSECCO","","15000","","",""
"Soft Drinks","Pepsi - 7up - Merinda","","5000","","yes",""
"Soft Drinks","Red Bull","","10000","","yes",""
"Soft Drinks","Soda","","5000","","yes",""
"Soft Drinks","Soda lemon","","5000","","yes",""
"Soft Drinks","Tonic water","","10000","","yes",""
"Soft Drinks","Ginger beer","","10000","","yes",""
